wavelength (nm),reflect
350,0.04817633225894863
351,0.04815573610615789
352,0.048311289229318634
353,0.04840591932033688
354,0.04825765936780103
355,0.04814593172851184
356,0.04824324324720049
357,0.04813427868134991
358,0.0480922805920636
359,0.0481238517193972
360,0.04813507764537791
361,0.04814076524796602
362,0.04818489161472012
363,0.04823757913397185
364,0.04821641300790285
365,0.048148201582570146
366,0.0481653481441551
367,0.048264867935259415
368,0.048185282763482995
369,0.048230812264714956
370,0.04844018461571424
371,0.04868360496527422
372,0.04849034174915796
373,0.048508083563720376
374,0.04872040066580923
375,0.04868907835717227
376,0.04854756168283673
377,0.048662561883244006
378,0.04900952816973899
379,0.04900975242650656
380,0.049098827096200566
381,0.04924058016519867
382,0.04934744559374731
383,0.04954413515090299
384,0.049669394128921886
385,0.049708071690012866
386,0.04974271589343522
387,0.04992735077580178
388,0.05003788083162186
389,0.05004422572393367
390,0.050124759695744765
391,0.05036683569050214
392,0.05063508740005961
393,0.05087126827319934
394,0.051279132147942594
395,0.051662857016108614
396,0.05207573402721956
397,0.0525623622883443
398,0.05276673732630017
399,0.053051020471540505
400,0.053394316891285716
401,0.05354668500967329
402,0.053731592486622175
403,0.05387932131971513
404,0.053962967770585284
405,0.054086502963317115
406,0.054158419436695276
407,0.05420257429227412
408,0.05425159512158545
409,0.054236179316652214
410,0.05414894689068709
411,0.054023176063968836
412,0.05391364361378652
413,0.05382264280026475
414,0.053718838060949806
415,0.05358363306754984
416,0.053424684644441174
417,0.05324867806932977
418,0.05309680676567472
419,0.05299501348530231
420,0.05288199354860772
421,0.052800660412381295
422,0.0527408941781178
423,0.052661280006558495
424,0.052592667934330865
425,0.05256341554631439
426,0.05256432009426547
427,0.052525827018620984
428,0.05253457850918831
429,0.0525547855365622
430,0.05254221264971227
431,0.0525743781215011
432,0.052596276428919245
433,0.05261196161670111
434,0.05265663543593298
435,0.05265793186007711
436,0.05267499017020795
437,0.05274215613116734
438,0.05283607610396858
439,0.052907750118601285
440,0.05295189093292567
441,0.05298404357952169
442,0.05303037616543611
443,0.05311455588181708
444,0.053211270181394044
445,0.05326918888670648
446,0.05335568313362303
447,0.053459101510303385
