wavelength (nm),reflect
350,0.06906117794554324
351,0.06896619675178908
352,0.06911044740112976
353,0.0697605154976399
354,0.07042287874890016
355,0.07096364082692151
356,0.07141239914368888
357,0.07192839855125907
358,0.07264810367546082
359,0.07343435460647302
360,0.07409021475299288
361,0.07479590877625926
362,0.07549433509907309
363,0.07624074549491497
364,0.07716149836871893
365,0.07802941849461076
366,0.0789787548361209
367,0.08005860076763625
368,0.0810862111535986
369,0.08208296260729862
370,0.08325304723435802
371,0.08472468618999819
372,0.08608828193865625
373,0.0876671739932344
374,0.08945611185005249
375,0.09124348427082904
376,0.09308321303405775
377,0.09496369984332133
378,0.096884970038716
379,0.09883868087480689
380,0.10114862347403474
381,0.10367710880265238
382,0.10628312302126948
383,0.1091318656112457
384,0.11241035368414803
385,0.1160796522849467
386,0.11990796434074662
387,0.12374764751961873
388,0.12731058915996393
389,0.13074120030407657
390,0.13444822393667238
391,0.13802063987051333
392,0.14171487545311579
393,0.14576891117037155
394,0.14991852313578652
395,0.15421430752638166
396,0.1583736774770315
397,0.16210904480070104
398,0.16553196244159124
399,0.16841936829022003
400,0.1708251786989951
401,0.1729492861752987
402,0.17477238490995303
403,0.17649534266210717
404,0.17821815544794153
405,0.17985038026452588
406,0.18127812575841745
407,0.18253612747613993
408,0.18368783998650126
409,0.18472649375279465
410,0.18567610103080082
411,0.1865534937998398
412,0.18736766115185374
413,0.18810086943163778
414,0.18880784668999653
415,0.1895145846150386
416,0.1901845399241061
417,0.19092977837320504
418,0.19171537106206504
419,0.19248917966469023
420,0.19328793848712536
421,0.19418432065873437
422,0.19515887132038243
423,0.1961432101720288
424,0.19717626676756556
425,0.19828675991314018
426,0.1994794381162748
427,0.20071184102969294
428,0.20214822845701427
429,0.20377176920138013
430,0.20550353879330127
431,0.20732498446990985
432,0.2092345309881506
433,0.21118472321651469
434,0.21310667439502876
435,0.21494253308754802
436,0.21681286366956842
437,0.21880454477116265
438,0.22087545156793081
439,0.2229563988052876
440,0.22502228137024277
441,0.22704025651449242
442,0.22888056952740649
443,0.23057578787549354
444,0.23217735960971636
445,0.23372462380689288
446,0.23514550040070237
447,0.23638767103585168
448,0.23745038782140443
449,0.23844034706472259
450,0.23924374803744197
451,0.23986607258181583
452,0.24035521361302897
453,0.2407821940088684
454,0.24112533434939812
455,0.24139331092686397
456,0.24161984929788075
457,0.24176320572279414
458,0.24185235987066953
459,0.2419244048526827
460,0.2420037813808366
461,0.2421059701338438
462,0.24221536531059043
463,0.24231377459563488
464,0.24245221072211465
465,0.24260657155674217
466,0.24277121373963897
467,0.24296120969153018
468,0.2431139171974503
469,0.24327621037279676
470,0.24347610531976993
471,0.2436252975939668
472,0.24381414539680468
473,0.24403754595013247
474,0.24424922417045997
475,0.24445456265156992
476,0.2447039084833408
477,0.24499594745506667
478,0.24526326654173938
479,0.24557838975192225
480,0.24593665490153632
481,0.24632503971714387
482,0.24675655145282283
483,0.24724595741601543
484,0.24781427563775763
485,0.24847955451512246
486,0.2492265144653427
487,0.2500428641976285
488,0.25090509161709557
489,0.2517786825589744
490,0.2526327456822371
491,0.2535351650752282
492,0.2545531512960783
493,0.2556187094594918
494,0.2567605312278413
495,0.25795428390370523
496,0.2591537858576368
497,0.26040082402903003
498,0.26173124949474713
499,0.26314211756017525
500,0.2645557335922954
501,0.26606849891087186
502,0.26763436172644905
503,0.2691811386939087
504,0.2707665349192546
505,0.2723892664856813
506,0.2740414615823414
507,0.27568690514666305
508,0.2773836014986346
509,0.27914670540338854
510,0.28095787094393754
511,0.28276735711099293
512,0.2846268633306871
513,0.2865277528385019
514,0.2884248605498071
515,0.29036675304459647
516,0.2923616010134183
517,0.29439987868792067
518,0.29645182872071335
519,0.29853380041947564
520,0.3005711158006511
521,0.30254525369507707
522,0.3045625767601457
523,0.306626382690246
524,0.30873334765168464
525,0.3108809064410553
526,0.31307924389649655
527,0.3153439437723765
528,0.31765102079922886
529,0.3199295504448179
530,0.32213319152686504
531,0.3243064943799314
532,0.32653680980967376
533,0.32882715252909195
534,0.33112745083362743
535,0.3333750100495344
536,0.33555672381156637
537,0.33772177447543855
538,0.3398840759471302
539,0.34203255058775167
540,0.3441644421603336
541,0.34627307543522046
542,0.3483339077685292
543,0.3503129043674742
544,0.35226342565320856
545,0.3541418597934815
546,0.35595217392638456
547,0.3577793356378487
548,0.35953969943126984
549,0.36121093638866025
550,0.3627932739049434
551,0.36430860019407957
552,0.36574418660083563
553,0.36708822547602926
554,0.36832572004791536
555,0.3694661968902448
556,0.370518734909027
557,0.37149910375546497
558,0.3724136055377513
559,0.37324350309966314
560,0.37402014754673174
561,0.37478830764776505
562,0.375501379272571
563,0.37620312731033956
564,0.3769313424903544
565,0.3776990523694624
566,0.3784967084332466
567,0.3793390095806271
568,0.3802291959923757
569,0.38113485775522116
570,0.3820959488278085
571,0.38312287622143093
572,0.384188146104531
573,0.38527067609616045
574,0.3863735055717732
575,0.3875163687458402
576,0.38868901825025504
577,0.3898909364887647
578,0.3911529100433755
579,0.392498967850676
580,0.39384036152524343
581,0.39522627789820364
582,0.39667450571177815
583,0.39818128510477624
584,0.3997707404885959
585,0.40142661851488143
586,0.403145083700393
587,0.40492052350704577
588,0.40675283077463953
589,0.4086658910722506
590,0.41068114331411343
591,0.41267961889517296
592,0.4145703905572392
593,0.4163794464420565
594,0.4181698583221524
595,0.41992344772399154
596,0.4215862838211482
597,0.42310478117735517
598,0.4244892880586246
599,0.4257444353782134
600,0.4268584068912914
601,0.4278060373820139
602,0.42860068941243584
603,0.4292472071449349
604,0.4297199069090755
605,0.4299521793512834
606,0.43004902267302747
607,0.4299764925545655
608,0.42968014957795014
609,0.42927219904961067
610,0.42865885150770094
611,0.4278446346262655
612,0.42693194102494186
613,0.4258509091861542
614,0.42466946814987344
615,0.4234400471411954
616,0.4221041186361176
617,0.420689555162265
618,0.4192465245583706
619,0.4178442601376468
620,0.4164897638865956
621,0.41523402010304516
622,0.41410603357157005
623,0.41310627103442094
624,0.4121907815509157
625,0.41143123556896055
626,0.4108943207833888
627,0.4105281892949923
628,0.41039421743680465
629,0.410468880004226
630,0.4106801088848516
631,0.4110635302584242
632,0.4116400825159057
633,0.412401850724599
634,0.4132955313131719
635,0.4143613638327038
636,0.41561869285340985
637,0.4170542243934033
638,0.4185634621513681
639,0.4202596359239671
640,0.42216465879661685
641,0.4242071724476573
642,0.42642948713427314
643,0.4287968099525401
644,0.43129686162876985
645,0.43397191182368205
646,0.43681737447063707
647,0.43983143177242845
648,0.44298463889554573
649,0.44619462247033553
650,0.44949465691138146
651,0.4528863954482431
652,0.4563489950910408
653,0.45983715775768474
654,0.4633364524596901
655,0.46688146020602683
656,0.4705887376166325
657,0.4744786191661332
658,0.4782671053857114
659,0.4817131445303241
660,0.4851459541889341
661,0.4886093967411053
662,0.4920610794958143
663,0.4954924368821167
664,0.498878696721134
665,0.502218262728716
666,0.5054837909376043
667,0.5086493764989649
668,0.5117775407131608
669,0.5148518826258696
670,0.5178240162841554
671,0.5207094397685161
672,0.5235461752759978
673,0.5263246891594372
674,0.5289969259161799
675,0.5316104180275874
676,0.5341391241104713
677,0.5365590852103054
678,0.5389670695092679
679,0.5413193112040422
680,0.5435955049478088
681,0.5457933638802352
682,0.5479534474131583
683,0.5500743341111417
684,0.5521477303783016
685,0.5541868917179935
686,0.5562191288286631
687,0.5583366898773062
688,0.5605971432555388
689,0.5626935197691413
690,0.5645326980633968
691,0.5662502453688485
692,0.5680269318336156
