wavelength (nm),reflect
350,0.03805137784794002
351,0.0379204689916552
352,0.03781709784080038
353,0.03761394256994925
354,0.03765026958449294
355,0.03756812144498446
356,0.03715311431683348
357,0.036962894732460026
358,0.03701760369379818
359,0.0369898749590245
360,0.03659315825625045
361,0.03653676972054162
362,0.03667795880100345
363,0.036755283681432604
364,0.036514132532791316
365,0.03637497083735095
366,0.03628675406918554
367,0.03617870410440274
368,0.03606550889669191
369,0.036030917872717026
370,0.03612583314199335
371,0.036291216084747766
372,0.03608610445968275
373,0.03599710345396314
374,0.03607385111265815
375,0.036069300312793165
376,0.03601692028911103
377,0.03591634264975196
378,0.03579420812980259
379,0.03571392773634197
380,0.03588779296728982
381,0.03610391561499346
382,0.036114201696758864
383,0.035892554904548284
384,0.03580852855341598
385,0.03585376302064413
386,0.03583179489655251
387,0.035771881036679117
388,0.03571467567823779
389,0.03571789771557973
390,0.03583586855078946
391,0.035727493243251945
392,0.03552081981977285
393,0.03540528941611612
394,0.03555485769986354
395,0.03535150960864305
396,0.03508260793320387
397,0.03516688388813993
398,0.03521681942721035
399,0.03515175462819416
400,0.03503013764386265
401,0.03497005419412922
402,0.03483320321041384
403,0.03477689618687319
404,0.03485108994371692
405,0.03488087092290197
406,0.03486259421167151
407,0.0348066515757617
408,0.03473771500221315
409,0.03468476994251135
410,0.034646268641211064
411,0.03462447273548748
412,0.034619503032963496
413,0.03457703798979592
414,0.03453484081159293
415,0.034523017549971065
416,0.03454495938624064
417,0.03451547846862698
418,0.03445766525806031
419,0.034405183546022726
420,0.03428314611545612
421,0.034292420907963625
422,0.03437178603173311
423,0.03430427689630789
424,0.034186653432512336
425,0.03416172709069418
426,0.034226652080852696
427,0.03413342399184461
428,0.03414392906539312
429,0.03419999485563049
430,0.03418764302911264
431,0.0341835727301735
432,0.03414660357456789
433,0.03408870429580044
434,0.034049619919831936
435,0.03397301904759068
436,0.03392474408456364
437,0.03392948567602908
438,0.0339331162917151
439,0.03389912066059296
440,0.03386005881104752
441,0.033847911041964086
442,0.03380091613411466
443,0.03375646770335852
444,0.033735493501029064
445,0.0337422344993851
446,0.03375841115990752
447,0.033734221063724874
448,0.03367104468221163
449,0.033666343055935875
450,0.03367948466588304
451,0.033674949668705746
452,0.033635201262288465
453,0.033627464012358714
454,0.03360737743799962
455,0.033584274567844755
456,0.03361103006623895
457,0.03358761251802147
458,0.03356850163294094
459,0.033587134398951175
460,0.03357112718096216
461,0.033556897039162294
462,0.03355287734127008
463,0.03355340276491793
464,0.03353013515365419
465,0.033514315402783594
466,0.03351065564092322
467,0.03349326154771268
468,0.033495712142999325
469,0.03349708696061941
470,0.03348031487495427
471,0.03346967602954726
472,0.03344892624246262
473,0.03344406532964531
474,0.03347729788667669
475,0.03340097751983695
476,0.03337277708101887
477,0.033423198439354915
478,0.03339369245425179
479,0.033374613988172
480,0.03337894870189564
481,0.03339207517938034
482,0.03337004086425976
483,0.033345653849242304
484,0.03332905853137349
485,0.03331611118994676
486,0.03330547258965906
487,0.03329138665929053
488,0.033281748792259765
489,0.033309307294643334
490,0.03326700093802868
491,0.0332331176772946
492,0.033278175698844344
493,0.03320524746021987
494,0.03322436708210245
495,0.033304781671460094
496,0.033233979678134996
497,0.03313171735946112
498,0.033102930473581406
499,0.03316890800107084
500,0.03317432055810112
501,0.03318391096790802
502,0.033188715404366624
503,0.033163950621623015
504,0.03313844309731942
505,0.03313369868945862
506,0.03314012087021
507,0.03311855661099691
508,0.03305726453051293
509,0.03304553943062576
510,0.033114361937201575
511,0.03307165859415324
512,0.033050427183811994
513,0.033059624024939234
514,0.03304702206650724
515,0.03301648400621627
516,0.033006297709891545
517,0.033025386089663766
518,0.03303177232316902
519,0.033001302447529184
520,0.032988737727819586
521,0.03302695652810608
522,0.03299221924025337
523,0.03298483698625656
524,0.03299856202065454
525,0.03295742527418918
526,0.032950448270594755
527,0.032967230999379614
528,0.03297749592256459
529,0.0329400556833853
530,0.03291887872996923
531,0.03290195524545157
532,0.03286385939015095
533,0.032860143477395784
534,0.03287634114073506
535,0.03288970792154036
536,0.03287638805057841
537,0.032871024466125144
538,0.0328756199966297
539,0.032880320319067596
540,0.0328578881100791
541,0.03286633632384756
542,0.0328855260822218
543,0.032859846298720685
544,0.03283439105251792
545,0.032814236041535653
546,0.03280144816719766
547,0.03280034934931702
548,0.03280988017486646
549,0.03281004750891342
550,0.03278951536070224
551,0.03279507093126036
552,0.03280225732349728
553,0.03279762169899869
554,0.032780973538076054
555,0.032786788923927106
556,0.03278747418486173
557,0.032770825456395924
558,0.032787283885101694
559,0.032797554806932104
560,0.03280143232262782
561,0.03280762906992685
562,0.03276892646695032
563,0.032758353632727735
564,0.032776911911829035
565,0.03273227319605698
566,0.03274412641286051
567,0.032755598756074394
568,0.03271653043448082
569,0.03275463356468879
570,0.032755189272123675
571,0.032730182705465315
572,0.03276221714529102
573,0.03274630677589253
574,0.03272440552488624
575,0.03272716849083578
576,0.03273416143720324
577,0.03276250355240875
578,0.03278016695843364
579,0.0327568938261474
580,0.03275135506235454
581,0.03272519077474456
582,0.0326931117763083
583,0.03271488812693582
584,0.032759680199717
585,0.0327709632464368
586,0.03272961848184729
587,0.03271976300907794
588,0.032719824290233894
589,0.032718211131877034
590,0.03270770179384086
591,0.03269623132319879
592,0.03270879771136331
593,0.03273269167162604
594,0.032708839882009705
595,0.03270676973864957
596,0.03271605382665954
597,0.03271725727067712
598,0.03274090570957474
599,0.03273687429556062
600,0.032727287605543
601,0.03277380666758071
602,0.032775112937920764
603,0.03276897851121609
604,0.03277884367878628
605,0.032764433440877795
606,0.03274980934680678
607,0.032744253953643755
608,0.03274648571615193
609,0.03272274492438354
610,0.032731161044001686
611,0.03276480836265954
612,0.032753895771558135
613,0.032754198480740356
614,0.032758019533469095
615,0.032755263671929394
616,0.03276208376614292
617,0.032762614856499735
618,0.03274701779439708
619,0.032719409180756984
620,0.03275236360859188
621,0.03276696150685169
622,0.03274276159940418
623,0.032748466616353854
624,0.03274443073455167
625,0.03273679114017734
626,0.032737764723277406
627,0.032740651940405825
628,0.03275379926888652
629,0.03276025163476542
630,0.03273544876012191
631,0.03275221550309584
632,0.03276927942811491
633,0.03276525652966208
634,0.03277536493840549
635,0.03276668521987476
636,0.03275801409531242
637,0.03276517137444721
638,0.03271442499454869
639,0.03271725216107964
640,0.032759328325542354
641,0.03272820861662716
642,0.03274542814162386
643,0.03278019531231782
644,0.032793203959286685
645,0.03277739609943279
646,0.03280000320107023
647,0.03281860205832584
648,0.03277116683960852
649,0.032760140059816256
650,0.03275030843068335
651,0.03274022885133516
652,0.03276826537266053
653,0.03277470074870109
654,0.032764098137042855
655,0.032764089605127014
656,0.032840524308414866
657,0.03285902644584434
658,0.032816753240487474
659,0.03278514705091972
660,0.03278694490383602
661,0.03279520227590972
662,0.0328002076653002
663,0.032815883107159736
664,0.032804806713171514
665,0.032793866298573886
666,0.032806843544717496
667,0.0328136039172757
668,0.03278653952699068
669,0.032765154919964
670,0.032807626122499677
671,0.032802286774832226
672,0.032792505235627656
673,0.03279800907553413
674,0.03278341610887036
675,0.03280607710042091
676,0.03283906341220867
677,0.0328465267193573
678,0.0328437429978246
679,0.03280580400951464
680,0.0327710017539846
681,0.03280081276244378
682,0.032798976012324246
683,0.032806010052339754
684,0.03284229315764093
685,0.03287619144611426
686,0.032899536368761466
687,0.03290554207431451
688,0.032897364963704524
689,0.03292417385036642
690,0.03291324158545477
691,0.03287036317363785
692,0.03284585794822233
693,0.032875608718550414
694,0.03290357097235917
695,0.0328947134450585
696,0.03285492522761481
697,0.032881244910603846
698,0.03290603942373673
699,0.032864266390199515
700,0.03285220593523923
701,0.0328875434920664
702,0.03292836499560592
703,0.03290610805815508
704,0.032868906044849336
705,0.03286729018482671
706,0.03289958210246159
707,0.032894496068194404
708,0.03291746004634936
709,0.03292124269922138
710,0.03287037448969533
711,0.03285244786290158
712,0.032884466657713385
713,0.03292851891568333
714,0.03292683771686908
715,0.032946077601721156
716,0.03294518931175023
717,0.032927919120561935
718,0.03297896221771829
719,0.03297538459925581
720,0.03295553771710711
721,0.032971439146651876
722,0.03296595366942356
723,0.03297272350421884
724,0.03299001316021104
725,0.032999561550918474
726,0.032986328864081337
727,0.03298089193634512
728,0.03298489915694449
729,0.03296767513329873
730,0.03298668049106823
731,0.032992324556135405
732,0.03296125609599136
733,0.03297225997591967
734,0.03299467109607756
735,0.032984796979996865
736,0.032928296681498555
737,0.03299006483480633
738,0.03303219727166632
739,0.033011434572944275
740,0.03297938077137779
741,0.0329383051142342
742,0.032929374011227766
743,0.03296524206924695
744,0.033006290235973644
745,0.0330051646762095
746,0.03297591603213982
747,0.03295535259080411
748,0.03298321561123338
749,0.032990158357930226
750,0.03298399206916823
751,0.0330107211372472
752,0.033005491232417285
753,0.03298941282947386
754,0.03298285033079776
755,0.03299278894103233
756,0.03299894559074028
757,0.033020090453351955
758,0.033069029405103076
759,0.033124669860539906
760,0.03316994929677554
761,0.03324991587658856
762,0.03341569890875084
763,0.033326603404407365
764,0.03327767504211687
765,0.03325689147100903
766,0.033134772545392786
767,0.03308794164905578
768,0.03305803926169654
769,0.033023476012620095
770,0.03300639840066904
771,0.033053116693950724
772,0.03307583521460349
773,0.033022430028955094
774,0.03303574041032898
775,0.03303619630599763
776,0.03302809410890584
777,0.03304418863228213
778,0.03306132359938251
779,0.03306305681550122
780,0.03305575184686333
781,0.033063490211451566
782,0.03307963306602505
783,0.033076637239167934
784,0.03305076592509029
785,0.03303901058507155
786,0.03307235159013376
787,0.033100802940137904
788,0.033090882233694975
789,0.03313163118875509
790,0.03311505892470994
791,0.033071550273495245
792,0.033081350614546035
793,0.03313066492267241
794,0.033154053362098174
795,0.03314518152702257
796,0.033146807094714584
797,0.033164476762831074
798,0.03315947560083287
799,0.03313154953258839
800,0.03313706184597731
