wave,Re,Im
0.22,1.2251,3.1751
0.26,1.6908,4.0714
0.3,3.976,4.199
0.34,5.2298,3.0206
0.36,6.1138,2.8433
0.38,6.4732,1.0686
0.4,5.5674,0.38612
0.42,5.0989,0.23786
0.46,4.5766,0.12819
0.5,4.299,0.070425
0.54,4.12,0.0474
0.58,3.99,0.03077
0.62,3.905,0.0219
0.66,3.8365,0.01538
0.7,3.7838,0.01217
0.74,3.7431,0.0095307
0.78,3.71,0.0077041
0.82,3.6782,0.005383
0.86,3.673,0.005
1.6,1.4,0.004
